Product_ID,Manufacturer
1,Manufacturer_2
2,Manufacturer_9
3,Manufacturer_6
4,Manufacturer_5
5,Manufacturer_10
6,Manufacturer_4
7,Manufacturer_1
8,Manufacturer_7
9,Manufacturer_5
10,Manufacturer_3
11,Manufacturer_5
12,Manufacturer_2
13,Manufacturer_6
14,Manufacturer_1
15,Manufacturer_1
16,Manufacturer_6
17,Manufacturer_10
18,Manufacturer_9
19,Manufacturer_8
20,Manufacturer_3
21,Manufacturer_6
22,Manufacturer_2
23,Manufacturer_8
24,Manufacturer_9
25,Manufacturer_10
26,Manufacturer_4
27,Manufacturer_4
28,Manufacturer_9
29,Manufacturer_3
30,Manufacturer_2
31,Manufacturer_10
32,Manufacturer_4
33,Manufacturer_8
34,Manufacturer_9
35,Manufacturer_10
36,Manufacturer_4
37,Manufacturer_4
38,Manufacturer_8
39,Manufacturer_9
40,Manufacturer_8
41,Manufacturer_7
42,Manufacturer_7
43,Manufacturer_10
44,Manufacturer_3
45,Manufacturer_4
46,Manufacturer_9
47,Manufacturer_3
48,Manufacturer_8
49,Manufacturer_8
50,Manufacturer_5
51,Manufacturer_1
52,Manufacturer_3
53,Manufacturer_10
54,Manufacturer_9
55,Manufacturer_6
56,Manufacturer_8
57,Manufacturer_2
58,Manufacturer_10
59,Manufacturer_2
60,Manufacturer_3
61,Manufacturer_4
62,Manufacturer_4
63,Manufacturer_3
64,Manufacturer_3
65,Manufacturer_6
66,Manufacturer_9
67,Manufacturer_1
68,Manufacturer_6
69,Manufacturer_8
70,Manufacturer_5
71,Manufacturer_9
72,Manufacturer_4
73,Manufacturer_4
74,Manufacturer_7
75,Manufacturer_4
76,Manufacturer_9
77,Manufacturer_4
78,Manufacturer_9
79,Manufacturer_1
80,Manufacturer_6
81,Manufacturer_4
82,Manufacturer_4
83,Manufacturer_3
84,Manufacturer_1
85,Manufacturer_5
86,Manufacturer_1
87,Manufacturer_5
88,Manufacturer_1
89,Manufacturer_6
90,Manufacturer_1
91,Manufacturer_8
92,Manufacturer_9
93,Manufacturer_7
94,Manufacturer_9
95,Manufacturer_4
96,Manufacturer_10
97,Manufacturer_4
98,Manufacturer_10
99,Manufacturer_1
100,Manufacturer_10
