Product_ID,Product_Name,Price,Quantity_Sold,Region
1,Product_1,223.19,95,South
2,Product_2,91.67,35,South
3,Product_3,259.64,28,East
4,Product_4,156.4,32,East
5,Product_5,221.68,61,West
6,Product_6,281.06,56,South
7,Product_7,27.22,63,East
8,Product_8,384.14,62,South
9,Product_9,243.4,34,South
10,Product_10,453.56,81,East
11,Product_11,65.57,61,North
12,Product_12,205.23,47,North
13,Product_13,11.98,86,South
14,Product_14,322.88,57,North
15,Product_15,465.0,42,North
16,Product_16,401.82,52,South
17,Product_17,147.58,43,West
18,Product_18,397.24,95,East
19,Product_19,202.54,57,West
20,Product_20,391.45,61,East
21,Product_21,481.48,21,East
22,Product_22,31.37,95,North
23,Product_23,34.96,78,South
24,Product_24,167.45,65,East
25,Product_25,328.78,23,West
26,Product_26,217.05,77,North
27,Product_27,302.78,35,West
28,Product_28,73.02,38,West
29,Product_29,330.41,24,East
30,Product_30,314.11,1,South
31,Product_31,92.12,23,South
32,Product_32,12.09,53,West
33,Product_33,410.81,46,South
34,Product_34,246.54,35,West
35,Product_35,361.96,7,West
36,Product_36,271.17,48,West
37,Product_37,75.48,80,West
38,Product_38,211.83,42,West
39,Product_39,305.77,67,North
40,Product_40,87.34,90,West
41,Product_41,233.17,69,North
42,Product_42,339.45,69,East
43,Product_43,333.53,32,South
44,Product_44,373.43,61,North
45,Product_45,244.78,95,East
46,Product_46,442.14,13,West
47,Product_47,168.49,68,East
48,Product_48,181.89,58,North
49,Product_49,222.58,88,East
50,Product_50,447.96,34,East
51,Product_51,116.42,44,North
52,Product_52,416.9,37,North
53,Product_53,70.12,9,West
54,Product_54,421.63,72,North
55,Product_55,126.66,67,East
56,Product_56,61.74,85,West
57,Product_57,362.29,47,West
58,Product_58,347.14,83,North
59,Product_59,220.58,18,East
60,Product_60,469.48,86,North
61,Product_61,76.18,42,West
62,Product_62,85.53,61,East
63,Product_63,115.94,37,West
64,Product_64,188.65,79,West
65,Product_65,166.74,18,North
66,Product_66,421.41,51,East
67,Product_67,144.59,56,South
68,Product_68,166.03,77,North
69,Product_69,68.07,44,South
70,Product_70,314.66,56,East
71,Product_71,487.49,30,South
72,Product_72,209.28,37,South
73,Product_73,207.59,88,North
74,Product_74,456.47,82,North
75,Product_75,104.38,20,South
76,Product_76,326.13,26,West
77,Product_77,192.43,75,North
78,Product_78,253.37,5,South
79,Product_79,13.22,13,North
80,Product_80,386.95,45,West
81,Product_81,276.73,13,West
82,Product_82,476.98,49,North
83,Product_83,469.24,64,North
84,Product_84,102.2,85,South
85,Product_85,257.01,49,South
86,Product_86,231.39,89,West
87,Product_87,191.82,60,East
88,Product_88,336.34,47,West
89,Product_89,366.09,43,South
90,Product_90,218.13,9,West
91,Product_91,400.86,77,West
92,Product_92,324.09,19,South
93,Product_93,473.75,67,North
94,Product_94,263.69,88,East
95,Product_95,28.06,64,South
96,Product_96,208.14,72,East
97,Product_97,12.34,36,North
98,Product_98,51.8,74,East
99,Product_99,309.8,55,West
100,Product_100,283.51,51,South
